team,avg_fg,avg_fga,avg_fg_perc,avg_3p,avg_3pa,avg_3p_perc,avg_ft,avg_fta,avg_ft_perc,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,avg_ts_perc,avg_efg_perc,avg_3par,avg_ftr,avg_fg_opp,avg_fga_opp,avg_fg_perc_opp,avg_3p_opp,avg_3pa_opp,avg_3p_perc_opp,avg_ft_opp,avg_fta_opp,avg_ft_perc_opp,avg_orb_opp,avg_drb_opp,avg_trb_opp,avg_ast_opp,avg_stl_opp,avg_blk_opp,avg_tov_opp,avg_pf_opp,avg_pts_opp,avg_ts_perc_opp,avg_efg_perc_opp,avg_3par_opp,avg_ftr_opp,team_ranking
ATL,40.1875945537065,87.78668683812406,0.4589031770045385,11.64145234493192,32.67019667170953,0.3556777609682299,17.559757942511347,22.45839636913767,0.7814780635400908,10.155824508320729,33.72768532526475,43.88350983358548,24.46142208774584,7.812405446293495,4.863842662632375,14.239031770045386,20.06051437216339,109.57639939485628,0.5621013615733736,0.5253509833585477,0.3720665658093797,0.258768532526475,41.01361573373676,88.50832072617247,0.4640968229954614,11.571860816944024,32.15279878971256,0.358981845688351,17.50680786686838,22.626323751891075,0.7783388804841149,10.64750378214826,34.04236006051437,44.68986384266263,24.925869894099847,8.376701966717095,5.282904689863843,13.857791225416037,20.3464447806354,111.10590015128594,0.5649440242057489,0.5296202723146748,0.3632768532526475,0.258142208774584,25.0
BOS,40.06827309236948,87.5140562248996,0.4585234270414993,12.448460508701473,34.35609103078983,0.3612958500669344,17.314591700133867,21.748326639892905,0.7974658634538152,10.127175368139223,34.31994645247657,44.4471218206158,24.327978580990628,7.609103078982597,5.127175368139223,12.94912985274431,19.99866131191433,109.8995983935743,0.5671311914323962,0.5297965194109772,0.3929745649263721,0.2514404283801874,38.791164658634536,86.68139223560911,0.4484497991967872,10.779116465863456,31.32128514056225,0.3419076305220883,17.389558232931726,22.532797858099062,0.7734016064257028,10.202141900937082,33.79250334672022,43.994645247657296,22.410977242302543,7.179384203480589,4.753681392235609,13.593038821954485,19.82730923694779,105.75100401606426,0.5483440428380187,0.5107443105756359,0.3613975903614458,0.2635997322623828,1.0
BRK,40.04769230769231,87.41846153846154,0.4593692307692307,11.784615384615384,32.82769230769231,0.3578430769230769,17.713846153846156,22.91230769230769,0.7740384615384616,10.007692307692308,34.47692307692308,44.48461538461538,24.03846153846154,6.86,4.78923076923077,14.070769230769232,20.135384615384616,109.59384615384616,0.5633061538461539,0.52698,0.3754276923076923,0.2656846153846153,41.44307692307692,90.07230769230767,0.4614553846153846,11.104615384615384,31.06153846153846,0.3584353846153846,17.49692307692308,22.56153846153846,0.7746969230769231,10.813846153846152,34.48,45.29384615384616,23.52769230769231,7.990769230769231,5.133846153846154,12.627692307692309,19.90923076923077,111.48769230769231,0.5588892307692308,0.5232615384615384,0.3449092307692307,0.2530830769230769,20.0
CHI,40.00159489633174,87.8755980861244,0.4562440191387559,10.170653907496012,28.462519936204146,0.3547543859649123,16.095693779904305,20.45773524720893,0.7850350877192982,10.028708133971293,34.07017543859649,44.098883572567786,23.5518341307815,7.481658692185008,4.417862838915471,13.24561403508772,19.22488038277512,106.2695374800638,0.5495135566188198,0.5142248803827751,0.3243014354066985,0.2350956937799043,40.61562998405104,87.1866028708134,0.4668548644338118,11.103668261562998,31.059011164274324,0.3543859649122807,16.773524720893143,21.8133971291866,0.7728564593301436,9.905901116427431,34.688995215311,44.59489633173844,24.840510366826155,7.526315789473684,5.239234449760765,13.113237639553429,18.363636363636363,109.10845295055822,0.5649186602870814,0.5308628389154705,0.3573317384370016,0.2531818181818182,27.0
CHO,39.27346278317152,87.39967637540452,0.4501618122977346,11.62135922330097,32.47249190938511,0.3554190938511327,17.68284789644013,22.867313915857604,0.7736035598705502,9.954692556634305,33.700647249190936,43.65533980582524,23.961165048543688,7.294498381877022,4.760517799352751,12.52588996763754,18.22006472491909,107.85113268608414,0.5544660194174758,0.5167944983818771,0.3717330097087378,0.2646165048543689,40.98543689320388,87.78964401294499,0.4678705501618123,12.186084142394822,33.32200647249191,0.3643964401294498,15.46116504854369,19.94822006472492,0.7757249190938512,9.964401294498382,35.32686084142395,45.29126213592233,25.707119741100325,7.147249190938512,5.224919093851133,13.368932038834952,20.1504854368932,109.61812297734627,0.5688090614886732,0.5374514563106796,0.3795129449838187,0.2295760517799352,28.0
CLE,39.51017441860465,85.23837209302326,0.4645276162790698,11.481104651162791,31.670058139534884,0.3606351744186046,16.649709302325583,21.896802325581397,0.7593183139534883,9.988372093023257,33.08866279069768,43.07703488372093,23.22819767441861,6.959302325581396,3.861918604651162,13.420058139534884,18.77761627906977,107.15116279069768,0.5658299418604651,0.5321220930232559,0.3722441860465116,0.2596220930232558,40.55523255813954,86.48982558139535,0.4695712209302325,11.174418604651162,30.63517441860465,0.3616453488372093,15.77470930232558,20.5,0.7693386627906976,9.960755813953488,32.88081395348837,42.84156976744186,24.405523255813957,7.696220930232558,4.895348837209302,12.757267441860463,20.16860465116279,108.0595930232558,0.5665029069767442,0.5342311046511627,0.3543604651162791,0.2396351744186046,11.0
DAL,39.15797317436662,85.98360655737704,0.4558494783904619,12.63934426229508,35.42921013412817,0.3554739195230998,16.831594634873323,21.87779433681073,0.7702265275707899,9.146050670640834,33.47242921013413,42.61847988077496,22.897168405365125,6.660208643815201,4.073025335320417,11.93591654247392,19.538002980625933,107.78688524590164,0.5643233979135619,0.5294739195230999,0.4122295081967213,0.2576095380029806,39.788375558867365,86.02980625931446,0.4634232488822652,11.102831594634871,31.210134128166917,0.3549165424739195,16.93144560357675,22.06408345752608,0.7688539493293591,9.923994038748138,34.95230998509687,44.87630402384501,23.35618479880775,7.117734724292101,4.06408345752608,12.788375558867362,20.79880774962742,107.61102831594634,0.5628494783904621,0.5279612518628912,0.3621803278688524,0.2596751117734724,15.5
DEN,41.335260115606935,87.66763005780346,0.4725635838150289,11.232658959537572,30.911849710982658,0.3614017341040462,16.923410404624278,21.79913294797688,0.7777514450867051,10.93063583815029,33.783236994219656,44.71387283236994,26.09393063583815,7.427745664739884,4.460982658959537,13.417630057803468,19.791907514450862,110.82658959537572,0.5710852601156069,0.5368916184971099,0.3530187861271676,0.2519205202312138,40.41907514450867,86.39161849710983,0.4686835260115607,11.066473988439306,30.796242774566476,0.3587817919075144,17.106936416184972,22.35549132947977,0.7659364161849711,9.751445086705202,32.232658959537574,41.98410404624278,24.60693641618497,7.57514450867052,4.94364161849711,12.726878612716764,20.17630057803468,109.0115606936416,0.5673526011560693,0.5329335260115607,0.3570101156069364,0.2616647398843931,2.0
DET,38.880645161290325,87.21129032258065,0.4466016129032257,10.558064516129033,30.488709677419354,0.3455838709677419,16.54193548387097,22.274193548387096,0.7454483870967742,10.737096774193548,33.14193548387097,43.87903225806452,22.59032258064516,7.25,4.233870967741935,13.338709677419354,20.114516129032257,104.86129032258064,0.5413951612903226,0.5074000000000001,0.3505677419354839,0.2589758064516129,40.35806451612903,85.61451612903225,0.4724838709677419,10.380645161290325,28.806451612903224,0.3608322580645161,17.240322580645163,22.27258064516129,0.7743354838709677,9.388709677419357,34.46612903225807,43.854838709677416,24.33225806451613,7.475806451612903,5.075806451612904,13.269354838709678,19.688709677419357,108.33709677419355,0.5687548387096774,0.5332822580645161,0.3362564516129032,0.2630354838709677,30.0
GSW,41.913816689466486,87.7045143638851,0.4789015047879617,12.984952120383037,34.3844049247606,0.3776744186046511,16.897400820793433,21.444596443228452,0.7876155950752394,9.722298221614228,35.06976744186046,44.792065663474695,28.270861833105336,8.20109439124487,5.6265389876880985,14.404924760601917,20.715458276333788,113.70998632010944,0.5863803009575923,0.5530341997264022,0.3917154582763338,0.247203830369357,39.67989056087551,88.9671682626539,0.4466580027359781,11.151846785225718,31.83173734610123,0.347562243502052,18.20656634746922,23.729138166894664,0.7673857729138166,10.803009575923392,33.20656634746922,44.00957592339261,23.500683994528043,8.147742818057456,4.117647058823529,13.77701778385773,19.389876880984957,108.71819425444596,0.5477291381668946,0.5095882352941177,0.3585731874145007,0.2697592339261285,4.0
